internal_txn_id,settlement_line_ids,discrepancy_type,expected_cardinality
TXN-21B8901398,SETL-4AFD3D4281,fee_variance,one_to_one
TXN-9C0CB52F51,SETL-1BDBFE38CE|SETL-FAFB4A53F5,split_settlement,one_to_many
TXN-B8F68D9D9B,SETL-A07EA6EBC8,clean_match,one_to_one
TXN-D67D25ABA1,SETL-8ED71F696D,clean_match,one_to_one
TXN-6FA8ADC305,SETL-530BCAB3DA,fee_variance,one_to_one
TXN-37EA22B8B6,SETL-3754EB33D6,clean_match,one_to_one
TXN-101AC616F8,SETL-78A9A91214,fee_variance,one_to_one
TXN-A167FE482E,SETL-EB4D0FA9AE,hard_return,one_to_one_reversed
TXN-2C8C8050EE,SETL-06AAD5D618|SETL-780B0E8565,duplicate_line,one_to_many
TXN-171CC2784D,SETL-CF3BFE351A,timing_outlier,one_to_one
TXN-6A5E731089,SETL-7C9A541350,clean_match,one_to_one
TXN-ED13A32E97,SETL-83197171FE,clean_match,one_to_one
TXN-643E7D80FD,SETL-5D12E74A1A,clean_match,one_to_one
TXN-73606F4C76,SETL-461C39A06C,hard_return,one_to_one_reversed
TXN-4F98B098D2,SETL-5FC753191C,hard_return,one_to_one_reversed
TXN-D6F9901A95,SETL-E285792202,hard_return,one_to_one_reversed
TXN-6A45C17FF1,SETL-8A5982794F,clean_match,one_to_one
TXN-E52DB9FA0D,SETL-08DD633EC5,clean_match,one_to_one
TXN-11849B3A47,SETL-BF959F9627,clean_match,one_to_one
TXN-052F27B81F,,orphan_internal,unmatched_internal
TXN-605EF05AA5,SETL-C0303393BF|SETL-5B32F51014,split_settlement,one_to_many
TXN-DFCE0B5ECD,SETL-AE5F34342D,clean_match,one_to_one
TXN-DD3D74C303,SETL-20DE0A6C1E,timing_outlier,one_to_one
TXN-A6F8F1F2F4,SETL-75528C96B1,clean_match,one_to_one
TXN-98694B0E8B,SETL-C3659F3093,clean_match,one_to_one
TXN-9480469A77,SETL-C50CDDFE31,clean_match,one_to_one
TXN-4A91F34C20,SETL-C926EC582B,clean_match,one_to_one
TXN-6A3B73A0CC,SETL-B746E9033D,descriptor_mangled,one_to_one
TXN-03D7CAF9FE,SETL-4E9E582175,clean_match,one_to_one
TXN-EB743AC8A4,SETL-9676C5623A,fee_variance,one_to_one
TXN-E126236570,SETL-E488143158,clean_match,one_to_one
TXN-DC605CDF6B,SETL-354DA4BFFC,timing_outlier,one_to_one
TXN-476ACBDEF8,SETL-04DC669A78,clean_match,one_to_one
TXN-A270635C6C,,orphan_internal,unmatched_internal
TXN-B0F31F003D,SETL-D3B33987D5,timing_outlier,one_to_one
TXN-7459FBC249,SETL-3CB378592F,fee_variance,one_to_one
TXN-F39D3B4ACC,,orphan_internal,unmatched_internal
TXN-1A06765E72,SETL-7A536CCB49,clean_match,one_to_one
TXN-7D953E47C9,SETL-E2F5A99DF3,clean_match,one_to_one
TXN-75449E8833,SETL-675FA42A2D,fee_variance,one_to_one
TXN-70463A585F,SETL-03E6348750,clean_match,one_to_one
TXN-41318C237B,SETL-D621871FD2,clean_match,one_to_one
TXN-32084F8B2D,SETL-4DA2943B73,hard_return,one_to_one_reversed
TXN-75F4D1179A,SETL-7D93597701,clean_match,one_to_one
TXN-F1C9C3877D,SETL-5DC6DD6296,clean_match,one_to_one
TXN-F33A221079,SETL-E296F3D4A4,descriptor_mangled,one_to_one
TXN-134C9C3132,SETL-E6C15C8C62,clean_match,one_to_one
TXN-9DE7746487,SETL-871BB6BD60,clean_match,one_to_one
TXN-03AD90CD9C,SETL-2A771AB774,fee_variance,one_to_one
TXN-F6DF765126,SETL-2014861CA2,clean_match,one_to_one
TXN-755F68FA86,SETL-2BE870A8AA,clean_match,one_to_one
TXN-C38E7B1F93,SETL-6400CCE531,clean_match,one_to_one
TXN-3D1FA2E4B6,SETL-00DA1F1DAB,clean_match,one_to_one
TXN-6E8ED4C6E8,SETL-6158338F13,clean_match,one_to_one
TXN-D775C6EDF3,SETL-50A033A490,timing_outlier,one_to_one
TXN-BBC6ADF708,SETL-6C7FBCE941,clean_match,one_to_one
TXN-87B6A27F5B,SETL-BAFB5AE5D7,fee_variance,one_to_one
TXN-FAE7893A43,SETL-E78B8B00C1,fee_variance,one_to_one
TXN-240505636A,SETL-BC9054230E,clean_match,one_to_one
TXN-793A7AE748,SETL-B54AC8FA40,clean_match,one_to_one
TXN-B74FD1654B,SETL-530EFCB3D8,clean_match,one_to_one
TXN-9AB097E4C9,SETL-70D13A2319,clean_match,one_to_one
TXN-AEA479B14B,SETL-31B4B32347,clean_match,one_to_one
TXN-D4D7CB51F2,SETL-4C1F6278BC,clean_match,one_to_one
TXN-C087AA9DF1,SETL-06DCE92B47,hard_return,one_to_one_reversed
TXN-E31DE462F4,SETL-4875B3E0DB,clean_match,one_to_one
TXN-65FB89BEAD,SETL-7EFF57A960,clean_match,one_to_one
TXN-7FD1A8F563,SETL-9364EB87BB,fee_variance,one_to_one
TXN-A90C3291C3,SETL-EB30DAABA4,clean_match,one_to_one
TXN-4FF8C1D25C,SETL-F239A211B6,clean_match,one_to_one
TXN-B8B7C818F0,SETL-36D44FA646,fee_variance,one_to_one
TXN-A56D0AA0BC,SETL-EB1AC52BE6,batched_settlement,many_to_one
TXN-FE9A1E8A5B,SETL-EB1AC52BE6,batched_settlement,many_to_one
TXN-A0FD61B7E5,SETL-EB1AC52BE6,batched_settlement,many_to_one
TXN-69486C1AE8,SETL-0271C66462,clean_match,one_to_one
